x,y
405,971
576,967
748,964
917,958
1085,954
1253,951
1420,948
405,798
577,794
746,790
914,789
1080,785
1246,779
1414,776
405,626
574,623
743,621
909,619
1076,618
1242,614
1410,613
402,461
572,460
741,456
906,453
1074,451
1242,451
1407,443
401,292
571,291
738,288
905,286
1071,285
1239,280
1407,277
