x,y
81,90
81,166
81,240
79,314
78,388
157,91
157,166
156,241
155,316
154,390
232,93
232,169
231,244
229,318
228,390
307,95
305,171
304,245
303,319
300,391
382,96
380,173
378,247
376,321
375,394
457,97
455,173
452,248
451,322
449,396
533,97
531,174
528,249
525,324
524,397
