x,y
620,922
786,912
950,906
1114,902
1278,896
1446,892
618,758
782,756
944,748
1106,744
1268,738
1432,732
616,596
778,590
938,584
1098,576
1260,572
1424,566
612,434
772,428
932,424
1094,418
1254,412
1416,406
608,274
770,270
928,266
1088,258
1248,254
1408,248
