x,y
-150,750
-150,700
-150,650
-150,600
-150,550
-100,750
-100,700
-100,650
-100,600
-100,550
-50,750
-50,700
-50,650
-50,600
-50,550
0,750
0,700
0,650
0,600
0,550
50,750
50,700
50,650
50,600
50,550
100,750
100,700
100,650
100,600
100,550
150,750
150,700
150,650
150,600
150,550
