x,y
-379,429
-299,429
-219,429
-139,429
-59,429
21,429
101,429
181,429
-379,509
-299,509
-219,509
-139,509
-59,509
21,509
101,509
181,509
-379,589
-299,589
-219,589
-139,589
-59,589
21,589
101,589
181,589
-379,669
-299,669
-219,669
-139,669
-59,669
21,669
101,669
181,669
-379,749
-299,749
-219,749
-139,749
-59,749
21,749
101,749
181,749
