x,y
-150,550
-150,600
-150,650
-150,700
-150,750
-100,550
-100,600
-100,650
-100,700
-100,750
-50,550
-50,600
-50,650
-50,700
-50,750
0,550
0,600
0,650
0,700
0,750
50,550
50,600
50,650
50,700
50,750
100,550
100,600
100,650
100,700
100,750
150,550
150,600
150,650
150,700
150,750
