163,558
135,558
108,558
80,558
53,558
25,558
-1,558
-29,558
-56,558
-84,558
-111,558
163,586
135,586
108,586
80,586
53,586
25,586
-1,586
-29,586
-56,586
-84,586
-111,586
163,613
135,613
108,613
80,613
53,613
25,613
-1,613
-29,613
-56,613
-84,613
-111,613
163,641
135,641
108,641
80,641
53,641
25,641
-1,641
-29,641
-56,641
-84,641
-111,641
163,668
135,668
108,668
80,668
53,668
25,668
-1,668
-29,668
-56,668
-84,668
-111,668
163,696
135,696
108,696
80,696
53,696
25,696
-1,696
-29,696
-56,696
-84,696
-111,696
163,723
135,723
108,723
80,723
53,723
25,723
-1,723
-29,723
-56,723
-84,723
-111,723
163,751
135,751
108,751
80,751
53,751
25,751
-1,751
-29,751
-56,751
-84,751
-111,751
163,778
135,778
108,778
80,778
53,778
25,778
-1,778
-29,778
-56,778
-84,778
-111,778
